occupants,lighting_interior,lighting_garage,cooking_range,dishwasher,clothes_washer,clothes_dryer,ceiling_fan,plug_loads_other,plug_loads_tv,hot_water_dishwasher,hot_water_clothes_washer,hot_water_fixtures,Vacancy,Power Outage
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.127,0,0
1.0,0.269,0.269,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.0,0,0
1.0,0.262,0.262,0.0,0.0,0.0,0.0,0.297,0.635,0.635,0.0,0.0,0.0,0,0
1.0,0.253,0.253,0.95,0.0,0.0,0.0,0.304,0.645,0.645,0.0,0.0,0.117,0,0
1.0,0.444,0.444,0.6,0.0,0.0,0.0,0.336,0.843,0.843,0.0,0.0,0.0944,0,0
1.0,0.44,0.44,0.0,0.0,0.0,0.0,0.392,0.843,0.843,0.0,0.0,0.0,0,0
1.0,0.441,0.441,0.0,0.0,0.0,0.0,0.433,0.824,0.824,0.0,0.0,0.396,0,0
1.0,0.454,0.454,0.0,0.0,0.0,0.0,0.447,0.862,0.862,0.0,0.0,0.176,0,0
1.0,0.506,0.506,0.0,0.0,0.0,0.0,0.545,0.899,0.899,0.0,0.0,0.308,0,0
1.0,0.639,0.639,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.044,0,0
1.0,0.845,0.845,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.044,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0881,0,0
1.0,0.961,0.961,0.0,0.918,0.0,0.0,0.993,0.88,0.88,0.495,0.0,0.132,0,0
1.0,0.77,0.77,0.0,0.0612,0.0,0.0,0.965,0.843,0.843,0.724,0.0,0.132,0,0
1.0,0.671,0.671,0.0,0.0,0.0,0.0,0.825,0.749,0.749,0.573,0.0,0.0881,0,0
1.0,0.248,0.248,0.0,0.0,0.0,0.0,0.699,0.674,0.674,0.0,0.0,0.0,0,0
1.0,0.0863,0.0863,0.0,0.0,0.0,0.0,0.409,0.56,0.56,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.0,0,0
1.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.279,0,0
1.0,0.151,0.151,0.0,0.0,0.0,0.0,0.503,0.618,0.618,0.0,0.0,0.464,0,0
1.0,0.353,0.353,0.0,0.0,0.0,0.0,0.601,0.693,0.693,0.0,0.0,0.366,0,0
1.0,0.447,0.447,0.0,0.0,0.0,0.0,0.657,0.787,0.787,0.0,0.0,0.304,0,0
1.0,0.475,0.475,0.0,0.0,0.0,0.0,0.475,0.806,0.806,0.0,0.0,0.488,0,0
0.5,0.269,0.269,0.0,0.0,0.0,0.0,0.29,0.635,0.635,0.0,0.0,0.0,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.22,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.044,0,0
0.0,0.0493,0.0493,0.0,0.0,0.0,0.0,0.258,0.465,0.465,0.0,0.0,0.132,0,0
0.5,0.244,0.244,0.0,0.0,0.0,0.0,0.325,0.654,0.654,0.0,0.0,0.0881,0,0
0.5,0.245,0.245,0.0,0.0,0.0,0.0,0.346,0.645,0.645,0.0,0.0,0.0,0,0
0.5,0.252,0.252,0.0,0.0,0.0,0.0,0.353,0.664,0.664,0.0,0.0,0.0,0,0
0.5,0.278,0.278,0.0,0.0,0.0,0.0,0.402,0.682,0.682,0.0,0.0,0.604,0,0
1.0,0.639,0.639,0.0,0.0,0.0,0.0,0.741,0.974,0.974,0.0,0.0,0.0,0,0
1.0,0.845,0.845,0.0,0.0,0.0,0.0,0.881,0.993,0.993,0.0,0.0,0.0881,0,0
1.0,0.997,0.997,0.0,0.0,0.0,0.0,0.937,0.937,0.937,0.0,0.0,0.0881,0,0
1.0,0.961,0.961,0.0,0.0,0.0,0.0,0.993,0.88,0.88,0.0,0.0,0.176,0,0
1.0,0.77,0.77,0.0,0.0,0.0,0.0,0.965,0.843,0.843,0.0,0.0,0.0,0,0
