original_FIP,station_wmo,match_location_name,county_lat,county_lon,station_lat,station_lon,distance_station_to_county_population_centroid_[mi]
G1301870,723200,Rome_R_B_Russell_Ap,44.913795,-88.641293,44.48,-88.13,110.26493728243351
G1301890,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,47.468011682300414
G1301910,722136,Brunswick_Golden_Is,44.913795,-88.641293,44.48,-88.13,25.747489831988407
G1301930,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,53.75075929249215
G1301950,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,19.067175958606118
G1301970,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,42.912689548896175
G1301990,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,60.23924949458819
G1302010,722140,Tallahassee_Regional_Ap_Isis,44.913795,-88.641293,44.48,-88.13,93.55929607131804
G1302050,722160,Albany_Dougherty_County_Ap,44.913795,-88.641293,44.48,-88.13,34.839379702658285
G1302070,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,46.50995399903981
G1302090,723160,Alma-Bacon County AP,44.913795,-88.641293,44.48,-88.13,70.62514624761428
G1302110,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,41.48965184849415
G1302130,723240,Chattanooga_Lovell_Field_Ap,44.913795,-88.641293,44.48,-88.13,46.29876484877019
G1302150,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,3.577788154937244
G1302170,722196,Dekalb_Peachtree,44.913795,-88.641293,44.48,-88.13,50.098503321867135
G1302190,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,14.441804333255504
G1302210,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,17.47980078008063
G1302230,722270,Marietta_Dobbins_Afb,44.913795,-88.641293,44.48,-88.13,27.425679208845576
G1302250,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,19.875450316153273
G1302270,722270,Marietta_Dobbins_Afb,44.913795,-88.641293,44.48,-88.13,60.03435070405778
G1302290,722135,Alma_Bacon_County_Ap,44.913795,-88.641293,44.48,-88.13,34.361176584743184
G1302310,722190,Atlanta_Hartsfield_Intl_Ap,44.913795,-88.641293,44.48,-88.13,58.88630795646549
G1302330,722270,Marietta_Dobbins_Afb,44.913795,-88.641293,44.48,-88.13,61.425242956492404
G1302350,722175,Warner_Robins_Afb,44.913795,-88.641293,44.48,-88.13,41.015926804521506
G1302370,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,70.40760901715086
G1302410,723150,Asheville_Regional_Arpt,44.913795,-88.641293,44.48,-88.13,100.59744157701385
G1302430,722160,Albany_Dougherty_County_Ap,44.913795,-88.641293,44.48,-88.13,60.436625348879424
G1302450,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,9.717140900505756
G1302470,722196,Dekalb_Peachtree,44.913795,-88.641293,44.48,-88.13,36.18172615106873
G1302490,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,67.89601521108938
G1302510,722180,Augusta_Bush_Field,44.913795,-88.641293,44.48,-88.13,78.75487420621434
G1302530,722140,Tallahassee_Regional_Ap_Isis,44.913795,-88.641293,44.48,-88.13,81.32100771496252
G1302550,722190,Atlanta_Hartsfield_Intl_Ap,44.913795,-88.641293,44.48,-88.13,43.8525088307181
G1302570,723150,Asheville_Regional_Arpt,44.913795,-88.641293,44.48,-88.13,119.20649208014443
G1302590,722250,Fort_Benning_Lawson,44.913795,-88.641293,44.48,-88.13,38.28467572571899
G1302610,722160,Albany_Dougherty_County_Ap,44.913795,-88.641293,44.48,-88.13,59.082113681021404
G1302630,722255,Columbus_Metropolitan_Arpt,44.913795,-88.641293,44.48,-88.13,40.03697451957998
G1302650,723110,Athens_Ben_Epps_Ap,44.913795,-88.641293,44.48,-88.13,59.03756995210959
G1302670,723160,Alma-Bacon County AP,44.913795,-88.641293,44.48,-88.13,70.8641875328728
G1302690,722170,Macon_Middle_Ga_Regional_Ap,44.913795,-88.641293,44.48,-88.13,54.58153333631356
